Sl. No,Name of Incident,Date,Month,Year,Country,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible,Outcome,latitude,longitude
282,Iwakura Mission,Unknown,Unknown,1871,Japan,Diplomatic Mission,"USA, Europe",A Japanese diplomatic voyage to the United States and Europe to renegotiate unequal treaties and study Western ways.,Japanese society,"Iwakura Tomomi, Kido Takayoshi",Positive,36.204824,138.252924
283,Satsuma Rebellion,Unknown,Unknown,1877,Japan,Military Rebellion,Kyushu,"A revolt of disaffected samurai against the new imperial government, marking the end of samurai rebellion.","Japanese government, samurai",Saigō Takamori,Negative,32.59,130.8
284,First SinoUnknownJapanese War,Unknown,Unknown,1894,Japan,Military Conflict,"Korea, China","Demonstrated Japan's military dominance in Asia, leading to the acquisition of Taiwan and Korea's independence.",Chinese and Japanese Empires,Meiji Government,Positive,36.204824,138.252924
285,JapanUnknownKorea Annexation Treaty,22,August,1910,Japan,International Agreement,Korea,"Officially annexed Korea, making it a part of the Japanese Empire until the end of World War II.",Korean population,Imperial Japan,Negative,36.204824,138.252924
286,Washington Naval Conference,Unknown,Unknown,1922,Japan,International Relations,Washington D.C.,Led to naval disarmament and attempted to prevent naval arms race among the major powers.,International community,"USA, UK, Japan, France, Italy",Positive,38.9039821,-77.0423689
287,Manchurian Incident,18,September,1931,Japan,Military Aggression,"Manchuria, China","A staged event used by Japan as a pretext to invade Manchuria, leading to the establishment of Manchukuo.",Chinese and Japanese populations,Imperial Japanese Army,Negative,36.204824,138.252924
288,Marco Polo Bridge Incident,7,July,1937,Japan,Military Conflict,"Near Beijing, China","The start of the fullUnknownscale Second SinoUnknownJapanese War, escalating conflict in East Asia.",Chinese and Japanese populations,"Imperial Japanese Army, Chinese forces",Negative,39.904211,116.407395
289,Japan's Surrender in World War II,2,September,1945,Japan,End of WWII,Tokyo Bay,Marked the end of World War II and the beginning of Japan's postUnknownwar reconstruction and pacifism era.,Japanese population,"Emperor Hirohito, Allied Powers",Negative,35.531074,139.8893534
290,San Francisco Peace Treaty Signed,8,September,1951,Japan,International Treaty,San Francisco,"Officially ended the state of war between Japan and the Allied Powers, restoring Japan's sovereignty.",Japanese population,Shigeru Yoshida (Prime Minister),Positive,37.7846321,-122.4313039
291,Japan Joins the United Nations,18,December,1956,Japan,International Relations,New York,Marked Japan's return to the international community and its commitment to global peace and cooperation.,Global community,Japanese government,Positive,40.7560919,-73.9741336
292,Income Doubling Plan Announced,Unknown,Unknown,1960,Japan,Economic Policy,Japan,"Aimed at doubling the national income, fueling rapid economic growth and improving living standards.",Japanese citizens,Hayato Ikeda (Prime Minister),Positive,36.204824,138.252924
293,Tokyo Olympics,10,October,1964,Japan,International Sports Event,Tokyo,"Showcased Japan's recovery and modernization to the world, fostering national pride and international goodwill.",Global audience,Japanese government,Positive,35.6764225,139.650027
294,Osaka Expo '70,15,March,1970,Japan,World's Fair,Osaka,Symbolized Japan's cultural and technological advancements on the world stage.,International visitors,Japanese government,Positive,34.6937249,135.5022535
295,Oil Crisis and Economic Shift,October,Unknown,1973,Japan,Economic Crisis,Japan,Prompted a shift in Japan's economy towards energyUnknownefficient industries and high technology.,Japanese economy,Japanese government,Mixed,36.204824,138.252924
296,JapanUnknownChina Joint Communiqué,29,September,1972,Japan,Diplomatic Agreement,Beijing,"Normalized diplomatic relations between Japan and China, ending the postUnknownwar state of hostility.",Japanese and Chinese populations,Kakuei Tanaka (Prime Minister),Positive,39.904211,116.407395
298,Heisei Era Begins,8,January,1989,Japan,Era Change,Japan,"The ascension of Emperor Akihito marked the beginning of the Heisei era, symbolizing peace and recovery.",Japanese population,Emperor Akihito,Positive,36.204824,138.252924
299,Great Hanshin Earthquake,17,January,1995,Japan,Natural Disaster,Kobe,"One of the deadliest earthquakes in Japan's history, leading to significant loss of life and damage.",Residents of affected area,Unknown,Negative,34.6900806,135.1956311
300,Aum Shinrikyo Tokyo Subway Sarin Attack,20,March,1995,Japan,Terrorism,Tokyo,"A deadly terrorist attack by a doomsday cult, shaking public security and trust in authorities.","Commuters, general public",Aum Shinrikyo cult,Negative,35.6764225,139.650027
302,Japan's Apology for WWII Aggressions,15,August,1995,Japan,Diplomatic Statement,Japan,Prime Minister Tomiichi Murayama issued a formal apology for Japan's wartime aggressions.,Asian neighbors,Tomiichi Murayama (Prime Minister),Positive,36.204824,138.252924
303,Kyoto Protocol on Climate Change,11,December,1997,Japan,International Agreement,Kyoto,"An international treaty committing its parties to reduce greenhouse gas emissions, based on the premise of global warming.",Global community,International participants,Positive,35.011564,135.7681489
305,Fukushima Daiichi Nuclear Disaster,11,March,2011,Japan,Nuclear Accident,Fukushima,"Triggered by a massive earthquake and tsunami, it was one of the worst nuclear disasters in history.","Residents of affected area, global community","TEPCO, Japanese government",Negative,37.7607991,140.4747856
306,JapanUnknownKorea Comfort Women Agreement,28,December,2015,Japan,Diplomatic Agreement,Seoul,"Aimed to resolve the longUnknownstanding issue of ""comfort women"" during WWII, though met with criticism and controversy.","Victims, South Korean and Japanese populations","Shinzo Abe (Prime Minister), Park GeunUnknownhye",Mixed,37.550263,126.9970831
307,Emperor Akihito's Abdication,30,April,2019,Japan,Historical,Tokyo,"Marked the first abdication of a Japanese emperor in over two centuries, leading to the Reiwa era.",Japanese population,Emperor Akihito,Positive,35.6764225,139.650027
308,2020 Tokyo Olympics Postponement,24,March,2020,Japan,International Sports Event,Tokyo,The Olympics were postponed for the first time in history due to the COVIDUnknown19 pandemic.,"Global audience, athletes","International Olympic Committee, Japanese government",Mixed,35.6764225,139.650027
309,Reiwa Era Begins,1,May,2019,Japan,Era Change,Japan,"The ascension of Emperor Naruhito marked the beginning of the Reiwa era, symbolizing harmony and peace.",Japanese population,Emperor Naruhito,Positive,36.204824,138.252924
310,Arrival of the First Fleet,26,January,1788,Australia,Colonial Settlement,Sydney Cove,"Marked the beginning of British colonization in Australia, leading to the establishment of New South Wales.","Indigenous Australians, British convicts",Captain Arthur Phillip,Mixed,-33.8685029,151.2198066
311,Establishment of the Colony of Van Diemen's Land,Unknown,Unknown,1803,Australia,Colonial Expansion,Tasmania,"Expanded British territorial claims in Australia, significantly impacting the indigenous population.","Tasmanian Aboriginal people, British settlers",British Colonial Administration,Negative,-42.0409059,146.8087322
312,Gold Rushes Begin,Unknown,Unknown,1851,Australia,Economic,"New South Wales, Victoria","Triggered mass migration to Australia, significantly boosting the economy and population.",Australian colonies,Gold prospectors,Positive,-31.2532183,146.921099
313,Eureka Stockade,3,December,1854,Australia,Rebellion,"Ballarat, Victoria","A miners' rebellion against colonial authorities, considered a pivotal event in the development of democracy in Australia.","Miners, colonial authorities",Peter Lalor,Positive,-37.5621587,143.8502556
314,Establishment of the Commonwealth of Australia,1,January,1901,Australia,Federation,Entire Australia,"Unification of the six colonies into a federated nation, marking the birth of modern Australia.",Australian population,Edmund Barton,Positive,-25.274398,133.775136
315,ANZAC troops land at Gallipoli,25,April,1915,Australia,Military,"Gallipoli, Turkey",Marked the first major military action fought by Australian and New Zealand forces during WWI.,ANZAC soldiers,Unknown,Negative,40.3333333,26.5
316,The Great Strike of 1917,Unknown,Unknown,1917,Australia,Labor Movement,Sydney,"One of Australia's largest industrial disputes, affecting the country's economy and labor laws.","Workers, employers",Union leaders,Mixed,-33.8688197,151.2092955
317,Women's Suffrage Achieved,Unknown,Unknown,1902,Australia,Political,Entire Australia,"Granted women the right to vote and stand for parliamentary election, a significant step for women's rights.",Australian women,Women's suffrage activists,Positive,-25.274398,133.775136
318,The Great Depression Hits Australia,Unknown,Unknown,1929,Australia,Economic Crisis,Entire Australia,"Severely affected Australia's economy, leading to widespread unemployment and social upheaval.",Australian population,Unknown,Negative,-25.274398,133.775136
319,Sydney Harbour Bridge Opens,19,March,1932,Australia,Infrastructure,Sydney,Became a national symbol of Australia and a critical transportation link within Sydney.,Sydney residents,John Bradfield,Positive,-33.8688197,151.2092955
320,Australian Citizenship Act,Unknown,Unknown,1949,Australia,Legal,Entire Australia,"Established Australian citizenship, formally distinguishing Australians from British subjects.",Australian residents,Australian Government,Positive,-25.274398,133.775136
321,Darwin Bombing by Japanese Forces,19,February,1942,Australia,Military,"Darwin, Northern Territory","The largest single attack ever mounted by a foreign power on Australia, bringing the realities of WWII to Australian shores.",Residents of Darwin,Imperial Japanese Navy,Negative,-12.4637333,130.8444446
322,Kokoda Trail Campaign,Unknown,Unknown,1942,Australia,Military,Papua New Guinea,"A series of battles fought in the New Guinea campaign of WWII, showcasing the bravery of Australian troops.","Australian soldiers, Papua New Guineans",Australian Army,Positive,-6.314992999999999,143.95555
323,Australian Involvement in WWII Begins,3,September,1939,Australia,Military,Global,Marked Australia's entry into WWII following the United Kingdom's declaration of war on Nazi Germany.,"Australian military, civilians",Robert Menzies (Prime Minister),Mixed,-25.274398,133.775136
324,Myall Creek Massacre,10,June,1838,Australia,Massacre,"Myall Creek, New South Wales",One of the most infamous incidents of violence against Indigenous Australians during the frontier wars.,Wirrayaraay people,European settlers,Negative,-29.7740019,150.7209404
325,The Founding of Melbourne,30,August,1835,Australia,Settlement,"Melbourne, Victoria","Establishment of Melbourne, which would grow to become one of Australia's largest and most influential cities.","Indigenous Australians, settlers","John Batman, settlers",Mixed,-37.8136276,144.9630576
326,The Shearers' Strike,Unknown,Unknown,1891,Australia,Labor Movement,Queensland,"A significant early labor dispute, highlighting the division between workers and employers in rural Australia.","Shearers, pastoralists","Union leaders, Queensland Government",Mixed,-22.575197,144.0847926
327,Federation of Australia,1,January,1901,Australia,Political,Entire Australia,"Unified the six separate British colonies into a single nation, the Commonwealth of Australia.",Residents of the colonies,Edmund Barton,Positive,-25.274398,133.775136
328,Australian Imperial Force's Formation,Unknown,Unknown,1914,Australia,Military Formation,Australia,Formation of the AIF marked Australia's preparation for participation in WWI.,Australian volunteers,Australian Government,Mixed,-25.274398,133.775136
329,Black Friday Bushfires,13,January,1939,Australia,Natural Disaster,Victoria,"One of Australia's worst natural disasters, leading to significant loss of life and property.",Residents of Victoria,Unknown,Negative,-36.9847807,143.3906074
330,Signing of the ANZUS Treaty,1,September,1951,Australia,International Relations,San Francisco,"Established a security alliance between Australia, New Zealand, and the United States, strengthening ties with the US.",Australian citizens,Robert Menzies (Prime Minister),Positive,-25.274398,133.775136
331,Mabo v Queensland Decision,3,June,1992,Australia,Legal Land Rights,High Court of Australia,"Recognized Native Title in Australia, overturning the doctrine of terra nullius and acknowledging Indigenous land rights.",Indigenous Australians,"Eddie Mabo, High Court of Australia",Positive,-35.2989741,149.1357239
332,Introduction of the Universal Health Care System,Unknown,Unknown,1975,Australia,Health Policy,Nationwide,"Established Medicare, providing access to free or subsidised medical care for Australian citizens.",Australian citizens,Gough Whitlam (Prime Minister),Positive,-27.467592,153.030356
333,Sydney Opera House Opens,20,October,1973,Australia,Cultural Infrastructure,Sydney,"Became an iconic symbol of Australia and a major cultural venue, enhancing the country's global cultural stature.",International and local visitors,"Queen Elizabeth II, Jørn Utzon",Positive,-33.8688197,151.2092955
334,1967 Referendum on Indigenous Australians,27,May,1967,Australia,Political/Legal,Nationwide,Amended the constitution to include Indigenous Australians in censuses and allow the federal government to create laws for them.,"Indigenous Australians, Australian voters","Australian Government, Indigenous activists",Positive,-27.467592,153.030356
335,Australia's Involvement in the Vietnam War,Unknown,Unknown,1962,Australia,Military Conflict,Vietnam,Marked significant military engagement abroad and sparked domestic debate and protest movements.,"Australian soldiers, civilians",Robert Menzies (Prime Minister),Mixed,-25.274398,133.775136
336,Whitlam Government's Dismissal,11,November,1975,Australia,Political Crisis,Canberra,A constitutional crisis that led to the dismissal of the Whitlam government by the GovernorUnknownGeneral.,Australian citizens,"Gough Whitlam, Sir John Kerr",Negative,-35.2801846,149.1310324
337,Port Arthur Massacre,28,April,1996,Australia,Gun Violence,"Port Arthur, Tasmania",Led to significant reforms in Australia's gun laws with the National Firearms Agreement.,Australian citizens,John Howard (Prime Minister),Positive,-43.1396117,147.8506871
338,Australia Act 1986,3,March,1986,Australia,Constitutional/Legal,"Canberra, London","Severed the remaining constitutional links between Australia and the United Kingdom, establishing full sovereignty.",Australian citizens,"Australian Government, British Government",Positive,-35.2801846,149.1310324
339,Apology to Australia's Indigenous Peoples,13,February,2008,Australia,Political,Canberra,"The Australian government formally apologised to the Indigenous Australians for past injustices, particularly the Stolen Generations.",Indigenous Australians,Kevin Rudd (Prime Minister),Positive,-35.2801846,149.1310324
340,Korean War Involvement,Unknown,Unknown,1950,Australia,Military Conflict,Korea,"Marked Australia's participation in UN forces during the Korean War, emphasizing its commitment to global security.","Australian military, Korean civilians",Australian Government,Mixed,-25.274398,133.775136
341,ANZUS Treaty Signing,1,September,1951,Australia,International Relations,San Francisco,"Established a security alliance between Australia, New Zealand, and the United States.",Australian citizens,Robert Menzies,Positive,-25.274398,133.775136
342,Vietnam War Involvement,Unknown,Unknown,1962,Australia,Military Conflict,Vietnam,Australia's involvement in Vietnam War sparked national debate and protest movements.,"Australian military, Vietnamese civilians",Australian Government,Negative,-25.274398,133.775136
343,Aboriginal Land Rights Act,Unknown,Unknown,1976,Australia,Legal/Political,Northern Territory,"A landmark in Indigenous rights, allowing Aboriginal Australians to claim land rights in the Northern Territory.",Indigenous Australians,Australian Government,Positive,-19.4914108,132.5509603
344,Sydney Opera House Opens,20,October,1973,Australia,Cultural Infrastructure,Sydney,"Became a national icon and a major cultural hub, symbolizing Australia's architectural and artistic prowess.",Global and local visitors,Jørn Utzon,Positive,-33.8688197,151.2092955
345,Whitlam Government Dismissal,11,November,1975,Australia,Political Crisis,Canberra,"A constitutional crisis that led to the dismissal of the Whitlam government, highlighting the power of the GovernorUnknownGeneral.",Australian citizens,"Gough Whitlam, Sir John Kerr",Negative,-35.2801846,149.1310324
346,Australia Acts 1986,Unknown,Unknown,1986,Australia,Legal/Constitutional,"Australia, UK","Ended the British Parliament's ability to legislate for Australia, finalizing legal independence.",Australian citizens,Australian Government,Positive,-25.274398,133.775136
347,Mabo Decision by the High Court,3,June,1992,Australia,Legal Land Rights,Australia,"Recognized native title in Australia, overturning the doctrine of terra nullius.",Indigenous Australians,"Eddie Mabo, High Court of Australia",Positive,-25.274398,133.775136
348,Port Arthur Massacre,28,April,1996,Australia,Gun Violence,"Port Arthur, Tasmania",Led to significant reforms in Australia's gun laws with the National Firearms Agreement.,Australian citizens,John Howard,Positive,-43.1396117,147.8506871
349,Sydney 2000 Summer Olympics,15,September,2000,Australia,International Sports Event,Sydney,"Showcased Australia's cultural diversity and hospitality, enhancing its global image.",Global audience,Australian Government,Positive,-33.8688197,151.2092955
350,Apology to the Stolen Generations,13,February,2008,Australia,Political,Canberra,The government formally apologized for the forced removal of Indigenous children from their families.,Indigenous Australians,Kevin Rudd,Positive,-35.2801846,149.1310324
351,Introduction of Goods and Services Tax (GST),1,July,2000,Australia,Economic Policy,Australia,"Implemented a comprehensive tax system reform, affecting consumption taxation nationwide.",Australian consumers,John Howard,Mixed,-25.274398,133.775136
352,SameUnknownSex Marriage Legalization,7,December,2017,Australia,Legal/Social,Australia,"Legalized sameUnknownsex marriage, marking a significant advancement in LGBTQ+ rights.",LGBTQ+ Australians,Australian Parliament,Positive,-25.274398,133.775136
353,"""Tampa"" Refugee Crisis",Unknown,August,2001,Australia,Humanitarian/Political,Indian Ocean,Sparked national and international debate on Australia's asylum seeker policies.,Asylum seekers,John Howard,Negative,-25.274398,133.775136
354,Black Saturday Bushfires,7,February,2009,Australia,Natural Disaster,Victoria,"One of the deadliest bushfires in Australian history, leading to significant loss of life and property.",Residents of Victoria,State Government of Victoria,Negative,-36.9847807,143.3906074
355,Repeal of Carbon Tax,17,July,2014,Australia,Environmental/Economic Policy,Australia,The removal of the carbon tax was a controversial environmental and economic policy change.,Australian citizens,Tony Abbott,Negative,-25.274398,133.775136
356,Royal Commission into Institutional Responses...,Unknown,Unknown,2013,Australia,Legal Inquiry,Australia,"Investigated abuse in institutions, leading to widespread reforms and apologies to victims.",Abuse survivors,Australian Government,Positive,-25.274398,133.775136
357,Australia's First Female Prime Minister,24,June,2010,Australia,Political Milestone,Australia,"Julia Gillard became the first female Prime Minister, representing a historic moment in Australian politics.",Australian citizens,Julia Gillard,Positive,-25.274398,133.775136
358,Signing of the Treaty of Waitangi,6,February,1840,New Zealand,Foundational Document,Waitangi,"Established a British Governor in New Zealand, granting the Crown the right to buy land from Māori and offering Māori the rights of British subjects.","Māori, European settlers","William Hobson, Māori chiefs",Mixed,-35.2683273,174.0801182
359,New Zealand Wars,Unknown,Unknown,1845,New Zealand,Military Conflict,Various locations,"A series of conflicts primarily between Colonial government forces and various Māori iwi, affecting sovereignty and land ownership.","Māori, European settlers","Various Māori iwi, British military",Negative,-40.900557,174.885971
360,Gold Rushes Begin,Unknown,Unknown,1861,New Zealand,Economic Boom,"Otago, West Coast","Sparked significant economic growth and an influx of settlers, changing the demographic and economic landscape.","European settlers, Māori",Unknown,Positive,-45.47906709999999,170.1547567
361,Introduction of the New Zealand Constitution Act,Unknown,Unknown,1852,New Zealand,Political Framework,Unknown,"Granted selfUnknowngovernment to New Zealand, allowing for the establishment of a central government and provincial governments.",New Zealanders,British Parliament,Positive,,
362,Women's Suffrage Achieved,19,September,1893,New Zealand,Social Reform,Unknown,Made New Zealand the first selfUnknowngoverning country in the world to grant all women the right to vote in parliamentary elections.,Women in New Zealand,"Kate Sheppard, Suffragette movement",Positive,,
363,Creation of the Welfare State,Unknown,Unknown,1938,New Zealand,Social Policy,Unknown,"Introduction of social security and welfare policies, providing support for the elderly, unemployed, and sick.",New Zealanders,"Michael Joseph Savage, Labour Government",Positive,,
364,Māori Seats Established in Parliament,Unknown,Unknown,1867,New Zealand,Political Inclusion,Unknown,"Established separate electoral representation for Māori, recognising Māori as a distinct political group.",Māori,New Zealand Government,Positive,,
365,Mount Tarawera Eruption,10,June,1886,New Zealand,Natural Disaster,Tarawera,"The deadliest volcanic eruption in New Zealand's history, causing significant loss of life and destruction.",Residents near Tarawera,Unknown,Negative,-38.188627,176.4288534
366,Refrigerated Shipping Invented,Unknown,Unknown,1882,New Zealand,Economic Innovation,Unknown,"Enabled the export of meat and dairy products to Britain, revolutionizing New Zealand's economy.",New Zealand economy,"William Davidson, Thomas Brydone",Positive,,
367,Anzac Forces Land at Gallipoli,25,April,1915,New Zealand,Military Campaign,"Gallipoli, Turkey","Marked New Zealand's significant involvement in World War I, impacting national identity and commemorations.",ANZAC soldiers,Unknown,Negative,-40.900557,174.885971
368,Labour Party Elected for the First Time,Unknown,Unknown,1935,New Zealand,Political Change,Unknown,"Brought the Labour Party to power, leading to significant social and economic reforms, including the creation of a welfare state.",New Zealanders,Michael Joseph Savage,Positive,,
369,Ratana Movement Political Involvement,Unknown,Unknown,1920,New Zealand,Political/Religious Movement,Unknown,The movement's alignment with the Labour Party influenced Māori political engagement and policy development.,Māori,T.W. Ratana,Positive,,
370,Social Security Act Passed,Unknown,Unknown,1938,New Zealand,Social Welfare,Unknown,"Established a comprehensive welfare system, providing support for the elderly, unemployed, and sick.",New Zealanders,Labour Government,Positive,,
371,New Zealand Expeditionary Force in WWII,Unknown,Unknown,1939,New Zealand,Military Conflict,"Europe, Pacific","Significant contribution to the Allied forces during World War II, affecting thousands of New Zealanders.","Military personnel, civilians",New Zealand Government,Mixed,-40.900557,174.885971
372,National Party Founded,Unknown,Unknown,1936,New Zealand,Political Party Formation,Unknown,"The founding of the National Party, becoming a major political force and alternative to the Labour Party.",New Zealanders,Adam Hamilton,Positive,,
373,State Housing Introduced,Unknown,Unknown,1937,New Zealand,Housing Policy,Unknown,"Initiated a government program to provide quality public housing, improving living standards for many.",LowUnknownincome families,Labour Government,Positive,,
374,Waitangi Day Established,Unknown,Unknown,1934,New Zealand,National Commemoration,Waitangi,"Commemorated the signing of the Treaty of Waitangi, though it didn't become a public holiday until later.",New Zealanders,New Zealand Government,Positive,-35.2683273,174.0801182
375,1st Labour Government Elected,Unknown,Unknown,1935,New Zealand,Election,Unknown,"The Labour Party's election led to significant social and economic reforms, including the establishment of a welfare state.",New Zealanders,Michael Joseph Savage,Positive,,
376,Compulsory Military Training Introduced,Unknown,Unknown,1949,New Zealand,Defense Policy,Unknown,"Aimed to prepare the population for potential military conflicts, reflecting the global tensions of the time.",Young male citizens,New Zealand Government,Mixed,,
377,Construction of Auckland Harbour Bridge,Unknown,Unknown,1950,New Zealand,Infrastructure Development,Auckland,"Improved transportation between Auckland city and the North Shore, contributing to the city's expansion.",Auckland residents,New Zealand Government,Positive,-36.85088270000001,174.7644881
378,Treaty of Waitangi Act 1975,Unknown,Unknown,1975,New Zealand,Legal/Political,New Zealand,"Established the Waitangi Tribunal to address breaches of the Treaty, acknowledging Māori grievances over land and rights.","Māori, New Zealanders",New Zealand Government,Positive,-40.900557,174.885971
379,ANZUS Treaty Suspension,Unknown,Unknown,1986,New Zealand,International Relations,New Zealand,"New Zealand's antiUnknownnuclear stance led to a suspension from the ANZUS security treaty, affirming its nuclearUnknownfree policy.",New Zealanders,David Lange,Positive,-40.900557,174.885971
380,Introduction of Nuclear Free Zone,8,June,1987,New Zealand,Policy/Legislation,New Zealand,"Legislated New Zealand as a nuclearUnknownfree zone, prohibiting nuclear weapons and power plants within the country.",New Zealanders,New Zealand Government,Positive,-40.900557,174.885971
381,Homosexual Law Reform Act,9,July,1986,New Zealand,Social Policy,New Zealand,"Decriminalized homosexuality, marking a significant step towards LGBTQ+ rights in New Zealand.","LGBTQ+ Community, New Zealanders",New Zealand Government,Positive,-40.900557,174.885971
382,Rogernomics Initiatives Begin,Unknown,Unknown,1984,New Zealand,Economic Policy,New Zealand,"Economic reforms aimed at liberalizing the economy, introducing freeUnknownmarket policies.",New Zealanders,Roger Douglas,Mixed,-40.900557,174.885971
383,Resource Management Act Enacted,Unknown,Unknown,1991,New Zealand,Environmental Legislation,New Zealand,"Provided a framework for managing New Zealand's natural and physical resources, emphasizing sustainability.",New Zealanders,New Zealand Government,Positive,-40.900557,174.885971
384,1981 Springbok Tour Protests,Unknown,Unknown,1981,New Zealand,Social Unrest,New Zealand,AntiUnknownapartheid protests against the South African rugby team's tour highlighted civil rights and antiUnknownracism issues.,"Protesters, rugby fans",AntiUnknownApartheid Movements,Mixed,-40.900557,174.885971
385,Waitangi Tribunal Established,Unknown,Unknown,1975,New Zealand,Judicial/Political,New Zealand,"Investigated historical breaches of the Treaty of Waitangi, offering a legal avenue for Māori to seek redress.",Māori,New Zealand Government,Positive,-40.900557,174.885971
386,2011 Christchurch Earthquake,22,February,2011,New Zealand,Natural Disaster,Christchurch,"A devastating earthquake that caused significant loss of life and damage, impacting the nation's resilience and urban planning.","Christchurch residents, New Zealanders",Unknown,Negative,-43.5320301,172.636648
387,Foreshore and Seabed Controversy,Unknown,Unknown,2004,New Zealand,Legal/Political,New Zealand,"Sparked debate over Māori customary rights to the foreshore and seabed, leading to political and legal reform.","Māori, New Zealanders",New Zealand Government,Mixed,-40.900557,174.885971
388,New Zealand's First Female Prime Minister,5,December,1997,New Zealand,Political Milestone,New Zealand,"Jenny Shipley became the first female Prime Minister, marking a significant moment in New Zealand's political history.",New Zealanders,Jenny Shipley,Positive,-40.900557,174.885971
389,AntiUnknownNuclear Legislation Enacted,Unknown,Unknown,1987,New Zealand,Environmental Policy,New Zealand,"Cemented New Zealand's stance on remaining nuclearUnknownfree, influencing international relations and environmental policy.",New Zealanders,New Zealand Government,Positive,-40.900557,174.885971
390,Auckland Harbour Bridge Protests,Unknown,Unknown,1975,New Zealand,Civil Rights,Auckland,Highlighted land rights issues and led to significant Māori activism against government policies on land and sovereignty.,"Māori, activists",Māori Activists,Positive,-36.85088270000001,174.7644881
391,MMP Electoral System Introduced,Unknown,Unknown,1993,New Zealand,Electoral Reform,New Zealand,"Changed the electoral system to Mixed Member Proportional, aiming for fairer representation in Parliament.",New Zealand voters,New Zealand Government,Positive,-40.900557,174.885971
392,New Zealand Signs Kyoto Protocol,Unknown,Unknown,1998,New Zealand,International Agreement,"Kyoto, Japan","Committed New Zealand to reducing greenhouse gas emissions, aligning with global efforts to combat climate change.",New Zealanders,New Zealand Government,Positive,35.011564,135.7681489
393,1987 New Zealand Constitution Act,Unknown,Unknown,1987,New Zealand,Constitutional Reform,New Zealand,"Established the legal sovereignty of the New Zealand Parliament, removing the ability of the UK Parliament to legislate for New Zealand.",New Zealanders,New Zealand Government,Positive,-40.900557,174.885971
394,New Zealand Bill of Rights Act,Unknown,Unknown,1990,New Zealand,Legal Framework,New Zealand,"Affirmed rights and freedoms in New Zealand law, providing comprehensive protection of human rights.",New Zealanders,New Zealand Government,Positive,-40.900557,174.885971
395,Formation of the Māori Party,Unknown,Unknown,2004,New Zealand,Political Development,New Zealand,"Established to represent Māori interests in Parliament, emphasizing indigenous rights and perspectives.","Māori, political observers",Māori Leaders,Positive,-40.900557,174.885971
396,Recognition of the Māori Language,Unknown,Unknown,1987,New Zealand,Cultural/Legal,New Zealand,"Made Te Reo Māori an official language of New Zealand, recognizing the cultural heritage and rights of Māori.","Māori, New Zealanders",New Zealand Government,Positive,-40.900557,174.885971
397,Decriminalization of Homosexuality,Unknown,Unknown,1986,New Zealand,Social Policy,New Zealand,"Decriminalized homosexual acts between consenting adults, marking progress in LGBTQ+ rights.","LGBTQ+ Community, New Zealanders",New Zealand Government,Positive,-40.900557,174.885971
398,Establishment of Goryeo Dynasty,Unknown,Unknown,918,Korea,Dynastic Founding,Korean Peninsula,"Unified the Later Three Kingdoms, laying the groundwork for a unified Korean identity and culture.",Korean people,King Taejo,Positive,35.907757,127.766922
399,Mongol Invasions of Korea,Unknown,Unknown,1231,Korea,Military Invasion,Korean Peninsula,"Led to Goryeo becoming a semiUnknownautonomous vassal state of the Mongol Empire, impacting Korean sovereignty.",Korean people,Mongol Empire,Negative,35.907757,127.766922
400,Establishment of Joseon Dynasty,Unknown,Unknown,1392,Korea,Dynastic Founding,Korean Peninsula,"Marked the beginning of a dynasty that would last for five centuries, emphasizing Confucianism and centralizing royal power.",Korean people,King Taejo of Joseon,Positive,35.907757,127.766922
401,Japanese Invasions of Korea (Imjin War),Unknown,Unknown,1592,Korea,Military Conflict,Korean Peninsula,"A devastating conflict that led to significant loss of life and cultural treasures, but also showcased Korean resilience.",Korean people,"Toyotomi Hideyoshi, Admiral Yi SunUnknownsin",Mixed,35.907757,127.766922
402,Manchu Invasions of Korea,Unknown,Unknown,1627,Korea,Military Invasion,Korean Peninsula,"Forced Korea into becoming a tributary state of the Qing Dynasty, impacting Korean foreign relations.",Korean people,Qing Dynasty,Negative,35.907757,127.766922
403,The Gabo Reform,Unknown,Unknown,1894,Korea,Political/Social Reform,Korean Peninsula,"A series of reforms aimed at modernizing Korea's government and social structures, influenced by foreign powers.",Korean people,King Gojong,Mixed,35.907757,127.766922
404,Assassination of Empress Myeongseong,8,October,1895,Korea,Political Assassination,Gyeongbokgung Palace,The JapaneseUnknownorchestrated assassination heightened Korean resentment towards Japan and destabilized the court.,"Korean royal family, citizens",Japanese agents,Negative,37.579617,126.977041
405,Korean Empire Proclaimed,12,October,1897,Korea,Political Change,Korean Peninsula,"King Gojong declared the Korean Empire, asserting independence amidst increasing foreign intervention.",Korean people,Emperor Gojong,Positive,35.907757,127.766922
406,RussoUnknownJapanese War,Unknown,Unknown,1904,Korea,International Conflict,"Korean Peninsula, Manchuria","Impacted Korea's sovereignty as Japan and Russia vied for dominance in the region, leading to Korea becoming a protectorate of Japan.",Korean people,"Japan, Russia",Negative,35.907757,127.766922
407,JapanUnknownKorea Annexation Treaty,22,August,1910,Korea,Annexation,Korean Peninsula,"Officially annexed Korea to Japan, ending the Korean Empire and beginning a period of Japanese colonial rule.",Korean people,Imperial Japan,Negative,35.907757,127.766922
